EncryptedID,Semester,GPA,TC qua,Acc
0560785f5511040384b2a56d65600f88a0feeef73d3fe09a40a4f125ba9b8651,8,4.0,18,132
0560785f5511040384b2a56d65600f88a0feeef73d3fe09a40a4f125ba9b8651,9,3.38,13,143
0560785f5511040384b2a56d65600f88a0feeef73d3fe09a40a4f125ba9b8651,10,4.0,12,155
059be5868671b89944cf5d5e6019ad99653abe7fe40e0e4c83a5dc11dd00ec70,1,2.75,12,12
059be5868671b89944cf5d5e6019ad99653abe7fe40e0e4c83a5dc11dd00ec70,2,1.93,11,23
059be5868671b89944cf5d5e6019ad99653abe7fe40e0e4c83a5dc11dd00ec70,3,3.06,18,44
059be5868671b89944cf5d5e6019ad99653abe7fe40e0e4c83a5dc11dd00ec70,4,3.25,20,64
059be5868671b89944cf5d5e6019ad99653abe7fe40e0e4c83a5dc11dd00ec70,5,3.72,20,86
059be5868671b89944cf5d5e6019ad99653abe7fe40e0e4c83a5dc11dd00ec70,6,3.83,18,104
059be5868671b89944cf5d5e6019ad99653abe7fe40e0e4c83a5dc11dd00ec70,7,3.91,22,126
059be5868671b89944cf5d5e6019ad99653abe7fe40e0e4c83a5dc11dd00ec70,8,3.63,15,141
059be5868671b89944cf5d5e6019ad99653abe7fe40e0e4c83a5dc11dd00ec70,9,3.6,15,156
05b756801fbd70a2c99fa393f0c945804935f9cbf02ea3dabc93399d1f8493a2,1,2.0,14,14
05b756801fbd70a2c99fa393f0c945804935f9cbf02ea3dabc93399d1f8493a2,2,0.95,9,23
05b756801fbd70a2c99fa393f0c945804935f9cbf02ea3dabc93399d1f8493a2,3,2.33,21,44
05b756801fbd70a2c99fa393f0c945804935f9cbf02ea3dabc93399d1f8493a2,4,1.0,9,53
05b756801fbd70a2c99fa393f0c945804935f9cbf02ea3dabc93399d1f8493a2,5,2.47,17,70
05b756801fbd70a2c99fa393f0c945804935f9cbf02ea3dabc93399d1f8493a2,6,2.42,18,88
05b756801fbd70a2c99fa393f0c945804935f9cbf02ea3dabc93399d1f8493a2,7,3.24,19,109
05b756801fbd70a2c99fa393f0c945804935f9cbf02ea3dabc93399d1f8493a2,8,3.5,3,112
05b756801fbd70a2c99fa393f0c945804935f9cbf02ea3dabc93399d1f8493a2,9,3.5,6,125
063f0b520f76e6858127b5d77ff594fcb201254a214d59483171b9d9c369d6a8,1,2.86,14,14
063f0b520f76e6858127b5d77ff594fcb201254a214d59483171b9d9c369d6a8,2,3.05,11,25
